City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Puerto Colombia,CO,84.29,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
414,Sinnamary,GF,82.53,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
416,Jerez,GT,77.45,clear sky,14.1,-89.75,Auto hotel Esmeralda
421,Lebowakgomo,ZA,81.5,clear sky,-24.2,29.5,Chuene Resort
423,Teseney,ER,79.56,scattered clouds,15.11,36.6575,Sabrin Hotel
426,Winneba,GH,88.27,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
428,Kanniyakumari,IN,79.5,scattered clouds,8.0833,77.5667,Sparsa
431,High Rock,BS,77.02,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
441,Presidencia Roque Saenz Pena,AR,86.4,clear sky,-26.7852,-60.4388,Hotel Gualok
443,Takoradi,GH,83.39,broken clouds,4.8845,-1.7554,Raybow International Hotel
444,Mersing,MY,75.11,light rain,2.4312,103.8405,Timotel Hotel
447,Kavieng,PG,81.46,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
448,Ampanihy,MG,80.78,overcast clouds,-24.7,44.75,Angora Hotel
452,Saint-Pierre,RE,80.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
455,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
458,Finschhafen,PG,81.01,overcast clouds,-6.6024,147.8681,Cossam Guest House
462,Chimbote,PE,75.09,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
464,Basco,PH,76.15,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
468,Suwannaphum,TH,85.03,overcast clouds,15.6035,103.8021,วรรณมณี รีสอร์ท
472,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
479,Maraa,BR,82.47,overcast clouds,-1.8333,-65.3667,
483,Inhambane,MZ,78.78,drizzle,-23.865,35.3833,Oceano
489,Abapo,BO,79.57,scattered clouds,-18.8333,-63.4667,
492,Aborlan,PH,76.01,overcast clouds,9.4352,118.5492,Kevina Transient House
494,De Aar,ZA,83.91,broken clouds,-30.6497,24.0123,Nyibiba Guesthouse
497,Ranchuelo,CU,78.08,clear sky,22.3772,-80.1489,casa De El Pata
500,Carinhanha,BR,85.84,overcast clouds,-14.3047,-43.765,Hotel União
503,Beloha,MG,81.39,light rain,-25.1667,45.05,
506,Letlhakeng,BW,87.75,scattered clouds,-24.0944,25.0298,fenugreek
507,Urubicha,BO,84.54,overcast clouds,-15.3833,-62.95,
510,Portobelo,PA,87.85,few clouds,9.55,-79.65,Scuba Portobelo
511,Bubaque,GW,78.48,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
513,Sechura,PE,78.03,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
514,Acarau,BR,86.97,broken clouds,-2.8856,-40.12,castelo pizzaria
517,Benjamin Aceval,PY,82.6,clear sky,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
520,Harper,LR,82.85,light rain,4.375,-7.7169,Screensaver
522,Caibarien,CU,78.28,clear sky,22.5206,-79.4669,La Nena
524,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
528,Cururupu,BR,83.3,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
530,Lubango,AO,78.66,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
531,Saint-Leu,RE,79.66,light rain,-21.15,55.2833,La Caz Oceane
533,Santiago,CL,88.29,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
535,Fare,PF,81.16,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
537,Vao,NC,80.19,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
546,Lobito,AO,79.21,broken clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
547,Poum,NC,81.0,overcast clouds,-20.2333,164.0167,
549,Luganville,VU,81.21,moderate rain,-15.5333,167.1667,The Espiritu Hotel
553,Guaruja,BR,82.17,mist,-23.9931,-46.2564,Charme Hotel Guarujá
558,Lazaro Cardenas,MX,79.68,scattered clouds,17.9583,-102.2,quinta antigua
563,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
564,Tual,ID,83.19,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
566,Praya,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
573,Hobyo,SO,77.43,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
575,Gamba,GA,81.39,light rain,-2.65,10.0,
577,Zinder,NE,84.16,dust,13.8072,8.9881,Hotel de Ville
580,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
581,Ambilobe,MG,76.01,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
582,Manado,ID,75.97,scattered clouds,1.4869999999999999,124.8455,Aryaduta Hotel
589,Samarai,PG,80.49,overcast clouds,-10.6167,150.6667,Nuli Sapi
592,Iralaya,HN,78.89,few clouds,15.0,-83.2333,Iglesia morava renovada
593,Tabou,CI,83.32,overcast clouds,4.423,-7.3528,hotêl doufoulougou
596,Wattegama,LK,77.92,overcast clouds,6.7989,81.4808,
598,San Pedro,PH,78.35,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
599,The Valley,AI,82.26,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
600,Pilar,BR,89.53,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
601,Miguel Calmon,BR,88.72,overcast clouds,-11.4289,-40.595,Pousada Guiomar
608,Kupang,ID,79.16,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
612,Marrakesh,MA,78.87,few clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
629,Bonthe,SL,85.87,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
631,Manjacaze,MZ,77.02,light rain,-24.7117,33.8828,Hotel Gani
636,Kunya,NG,82.56,dust,12.2233,8.5325,
638,Grand Gaube,MU,81.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
639,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
643,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
646,Mindelo,CV,78.35,few clouds,16.8901,-24.9804,Hotel Gaudi
651,Edd,ER,76.62,overcast clouds,13.9297,41.6925,
652,Santa Cruz,BO,82.45,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
654,Atambua,ID,75.99,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
657,Ipixuna,BR,85.95,broken clouds,-1.7625,-48.8043,Casa da Oscarina
